Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,467,512,8480,2,4,7,19,32,51,101,231,0,0,0
2,437,512,8192,2,3,10,13,28,64,110,215,0,0,0
3,382,512,6924,2,3,6,15,30,52,123,186,0,0,0
4,190,256,2880,1,2,7,13,30,47,109,0,0,0,0
5,548,1024,11544,1,4,6,15,28,49,111,208,451,0,0
6,439,512,7884,2,3,9,17,35,53,96,237,0,0,0
7,343,512,6012,2,5,10,13,43,64,139,238,0,0,0
8,551,1024,11612,1,4,9,17,37,51,104,229,382,0,0
9,568,1024,11760,2,4,7,13,32,61,97,243,457,0,0
10,237,256,3632,1,3,8,15,27,69,98,0,0,0,0
11,745,1024,16004,3,5,7,17,42,59,117,219,466,0,0
12,439,512,7724,2,4,9,14,30,56,124,267,0,0,0
13,245,256,3552,1,3,7,19,27,69,100,0,0,0,0
14,453,512,8292,2,3,10,16,34,72,127,197,0,0,0
15,420,512,7540,1,3,8,16,34,52,112,204,0,0,0
16,607,1024,12748,1,2,6,25,34,72,134,231,427,0,0
17,543,1024,11404,2,4,8,18,26,53,99,215,401,0,0
18,387,512,7260,2,4,8,15,25,57,107,221,0,0,0
19,348,512,6040,2,3,8,18,33,68,106,228,0,0,0
20,268,512,4828,1,3,6,17,34,81,159,219,0,0,0
21,223,256,3224,1,4,8,25,32,62,106,0,0,0,0
22,270,256,4224,2,4,8,17,29,88,113,0,0,0,0
23,604,1024,12736,2,4,8,15,25,65,104,187,396,0,0
24,410,512,7576,1,3,6,20,30,51,131,206,0,0,0
25,227,256,3264,2,3,7,20,43,57,104,0,0,0,0
26,384,512,6928,2,3,8,16,37,66,116,229,0,0,0
27,167,256,2360,2,4,9,14,35,60,116,0,0,0,0
28,816,1024,17344,1,5,8,15,40,64,116,287,462,0,0
29,380,512,6908,2,3,7,15,28,61,105,233,0,0,0
30,673,1024,13804,2,3,6,15,27,48,124,216,452,0,0
31,602,1024,12600,1,6,9,18,28,66,113,215,422,0,0
32,427,512,7592,1,4,8,17,36,65,130,286,0,0,0
33,697,1024,15116,2,3,5,13,30,60,108,231,405,0,0
34,377,512,6392,3,5,9,17,29,54,107,232,0,0,0
35,803,1024,17056,2,4,8,14,24,51,112,220,489,0,0
36,369,512,6280,1,5,7,24,33,62,113,221,0,0,0
37,546,1024,11604,2,5,6,19,32,60,119,235,404,0,0
38,202,256,2948,2,5,11,14,30,57,136,0,0,0,0
39,543,1024,11596,2,4,7,14,40,47,128,235,424,0,0
40,749,1024,16028,3,5,7,18,30,56,119,215,456,0,0
41,428,512,7664,1,5,11,19,35,68,125,262,0,0,0
42,624,1024,12764,1,5,8,13,37,55,128,187,449,0,0
43,362,512,6680,2,5,11,20,32,53,117,212,0,0,0
44,669,1024,13892,2,3,7,17,27,75,97,218,477,0,0
45,782,1024,17240,2,4,7,14,30,52,103,233,404,0,0
46,595,1024,12540,2,3,7,17,28,64,95,189,459,0,0
47,470,512,8300,2,3,11,18,39,53,97,210,0,0,0
48,443,512,7732,2,4,7,19,31,63,135,225,0,0,0
49,382,512,6868,2,3,6,20,28,61,107,219,0,0,0
50,479,512,8592,1,4,9,19,31,68,124,275,0,0,0
51,727,1024,15448,1,2,7,15,27,68,128,203,439,0,0
52,495,512,9056,2,5,7,14,31,73,117,198,0,0,0
53,799,1024,16972,2,4,8,17,39,66,113,255,423,0,0
54,542,1024,11468,3,4,9,15,35,74,127,226,448,0,0
55,577,1024,12136,3,5,6,18,29,59,104,198,488,0,0
56,576,1024,11968,2,3,10,17,37,71,105,230,391,0,0
57,447,512,8268,1,4,7,18,33,59,104,224,0,0,0
58,332,512,5904,3,4,7,18,33,78,92,239,0,0,0
59,554,1024,11772,1,3,6,19,39,53,98,250,394,0,0
60,756,1024,15788,2,3,7,20,38,58,110,209,514,0,0
61,415,512,7764,2,3,8,26,39,58,129,234,0,0,0
62,515,1024,11288,2,4,6,16,37,54,109,206,409,0,0
63,670,1024,14804,2,4,8,15,26,97,105,219,464,0,0
64,676,1024,14244,1,4,9,14,28,56,112,232,464,0,0
65,131,128,1584,2,3,8,14,31,58,0,0,0,0,0
66,399,1024,9004,2,3,7,17,33,66,95,226,381,0,0
67,364,512,6536,1,4,9,17,39,57,103,228,0,0,0
68,394,512,7196,2,5,11,15,29,57,118,239,0,0,0
69,343,512,5996,1,2,7,14,31,55,134,205,0,0,0
70,304,512,5320,2,6,8,17,26,68,120,213,0,0,0
71,535,1024,11480,2,5,10,14,34,60,102,236,490,0,0
72,523,512,9524,1,3,7,19,30,51,125,224,0,0,0
73,394,512,7220,2,3,8,14,32,56,114,216,0,0,0
74,556,1024,11708,2,3,6,14,36,62,117,216,485,0,0
75,374,512,6824,2,3,10,15,27,56,111,261,0,0,0
76,319,512,5588,2,4,9,16,29,81,113,223,0,0,0
77,737,1024,15688,2,3,7,18,31,52,122,244,421,0,0
78,519,1024,11308,2,3,9,13,50,64,102,251,490,0,0
79,743,1024,15772,2,5,9,22,37,53,127,223,461,0,0
80,360,512,6688,1,5,9,12,25,51,114,222,0,0,0
81,346,512,6328,1,4,8,25,33,55,103,225,0,0,0
82,624,1024,13240,1,2,8,18,39,47,112,202,416,0,0
83,856,1024,18288,1,4,9,16,31,67,112,259,406,0,0
84,327,512,6028,2,3,5,14,29,66,111,199,0,0,0
85,715,1024,15248,3,5,7,15,29,61,137,241,497,0,0
86,421,512,7528,1,3,7,13,34,53,115,216,0,0,0
87,447,512,8096,1,4,10,18,45,63,137,263,0,0,0
88,431,512,7680,1,3,7,14,25,49,124,230,0,0,0
89,310,512,5580,2,5,8,21,40,54,112,203,0,0,0
90,415,512,7388,2,4,10,16,35,55,120,260,0,0,0
91,411,512,7296,1,3,8,12,31,55,97,208,0,0,0
92,593,1024,12312,2,4,11,17,33,66,120,192,405,0,0
93,591,1024,12316,3,4,9,17,26,67,117,237,378,0,0
94,594,1024,12332,2,3,8,20,30,62,125,236,371,0,0
95,686,1024,14756,2,4,9,14,32,58,115,265,373,0,0
96,439,512,7856,2,4,7,15,29,66,116,210,0,0,0
97,193,256,2936,1,3,6,20,36,47,118,0,0,0,0
98,456,512,8052,2,3,6,12,28,57,129,265,0,0,0
99,242,256,3652,2,3,5,11,28,71,111,0,0,0,0
100,427,512,7632,2,3,7,17,36,56,99,246,0,0,0
